peers,peers_seen_r,dependencies,ix_id
2,0.5,0,1127
2,0.5,0,2457
2,0.5,0,258
2,0.5,0,2732
2,0.5,0,3448
2,0.5,0,428
2,0.5,0,476
2,0.5,0,602
2,0.5,0,615
2,0.5,0,760
3,0.3333333333333333,0,1134
3,0.3333333333333333,0,1418
3,0.3333333333333333,0,2124
3,0.3333333333333333,0,2341
3,0.3333333333333333,0,275
3,0.3333333333333333,0,2785
3,0.3333333333333333,0,2799
3,0.3333333333333333,0,2819
3,0.3333333333333333,0,3117
3,0.3333333333333333,0,3303
3,0.3333333333333333,0,3871
3,0.6666666666666666,0,559
4,0.25,0,1123
4,0.25,0,1229
4,0.25,0,2320
4,0.25,0,274
4,0.25,0,3122
4,0.25,0,3337
4,0.25,0,3941
4,0.25,0,430
4,0.25,0,672
4,0.5,0,1210
4,0.5,0,1861
4,0.5,0,3721
5,0.2,0,1017
5,0.2,0,111
5,0.2,0,1420
5,0.2,0,2414
5,0.2,0,260
5,0.2,0,3322
5,0.2,0,3477
5,0.2,0,957
5,0.6,0,2663
5,0.6,0,3179
6,0.16666666666666666,0,1038
6,0.16666666666666666,0,2537
6,0.16666666666666666,0,256
6,0.16666666666666666,0,2563
6,0.16666666666666666,0,3329
6,0.16666666666666666,0,334
6,0.16666666666666666,0,340
6,0.16666666666666666,0,381
6,0.16666666666666666,0,400
6,0.3333333333333333,0,2318
6,0.3333333333333333,0,3401
6,0.5,0,1582
6,0.5,0,3335
7,0.14285714285714285,0,1490
7,0.14285714285714285,0,1870
7,0.14285714285714285,0,2272
7,0.14285714285714285,0,2276
7,0.14285714285714285,0,2286
7,0.14285714285714285,0,287
7,0.14285714285714285,0,3079
7,0.14285714285714285,0,3288
7,0.14285714285714285,0,3548
7,0.14285714285714285,0,3633
7,0.14285714285714285,0,3775
7,0.14285714285714285,0,514
7,0.2857142857142857,0,1663
7,0.2857142857142857,0,2239
7,0.2857142857142857,0,2685
7,0.2857142857142857,0,2916
7,0.42857142857142855,0,383
7,0.5714285714285714,0,2602
7,0.5714285714285714,0,2675
7,0.5714285714285714,0,3422
8,0.125,0,1201
8,0.125,0,1991
8,0.125,0,2070
8,0.125,0,2569
8,0.125,0,2784
8,0.125,0,3321
8,0.125,0,336
8,0.125,0,3384
8,0.125,0,3671
8,0.25,0,2051
8,0.375,0,2497
8,0.5,0,1419
8,0.5,0,2301
8,0.5,0,2584
8,0.5,0,2633
9,0.1111111111111111,0,2551
9,0.1111111111111111,0,2869
9,0.1111111111111111,0,3195
9,0.1111111111111111,0,3675
9,0.1111111111111111,0,727
9,0.2222222222222222,0,1679
9,0.2222222222222222,0,3090
9,0.2222222222222222,0,366
9,0.3333333333333333,0,1095
9,0.3333333333333333,0,1307
9,0.3333333333333333,0,822
9,0.4444444444444444,0,492
9,0.5555555555555556,0,796
10,0.1,0,3156
10,0.1,0,3616
10,0.1,0,778
10,0.1,0,940
10,0.2,0,2722
10,0.3,0,190
10,0.3,0,2552
10,0.3,0,378
10,0.3,0,810
10,0.4,0,1160
10,0.4,0,379
10,0.5,0,2130
10,0.5,0,2553
10,0.5,0,762
10,0.8,0,1042
11,0.09090909090909091,0,2693
11,0.09090909090909091,0,2830
11,0.09090909090909091,0,828
11,0.2727272727272727,0,317
11,0.2727272727272727,0,322
11,0.36363636363636365,0,1009
11,0.36363636363636365,0,1464
11,0.36363636363636365,0,2865
12,0.08333333333333333,0,1516
12,0.08333333333333333,0,1658
12,0.08333333333333333,0,1868
12,0.08333333333333333,0,2564
12,0.16666666666666666,0,3366
12,0.25,0,2915
12,0.3333333333333333,0,1019
12,0.3333333333333333,0,2362
12,0.3333333333333333,0,393
12,0.4166666666666667,0,1174
12,0.4166666666666667,0,226
12,0.5,0,876
12,0.5,0,967
13,0.07692307692307693,0,2454
13,0.07692307692307693,0,2589
13,0.07692307692307693,0,2670
13,0.07692307692307693,0,776
13,0.15384615384615385,0,1171
13,0.15384615384615385,0,313
13,0.23076923076923078,0,421
13,0.3076923076923077,0,606
13,0.38461538461538464,0,298
13,0.46153846153846156,0,1032
13,0.46153846153846156,0,2627
13,0.46153846153846156,0,512
13,0.5384615384615384,0,1089
13,0.7692307692307693,0,3428
14,0.07142857142857142,0,1016
