bin_timestamp,num_tr,target_ix,target_no_ix,no_target_ix,no_target_no_ix,target_ix_rtt_count,target_ix_rtt_avg,target_no_ix_rtt_count,target_no_ix_rtt_avg
1616457600,8979,8961,18,0,0,8959,124.79115226773821,18,72.89909259259258
1616457900,8083,8067,8,0,8,8066,118.09537015455841,8,58.420333333333325
1616458200,6518,6510,7,1,0,6510,115.81128494623626,7,74.21028571428572
1616458500,9070,9046,23,1,0,9045,124.09671604938299,23,82.12774637681159
1616458800,7122,7106,12,0,4,7102,116.07649662067091,12,93.03980555555557
1616459100,8060,8039,11,1,9,8035,109.17500020742598,11,110.44809090909092
1616459400,9007,8981,22,1,3,8960,130.45892258184452,22,97.4699696969697
1616459700,8063,8003,36,3,21,7989,120.9107824300084,35,250.08096666666663
1616460000,6514,6482,18,4,10,6482,115.32349155353273,18,178.04340740740741
1616460300,9062,9027,32,0,3,9026,124.6661902466948,32,131.44803124999999
1616460600,7111,7081,22,0,8,7077,117.25471652300816,22,196.4321515151515
1616460900,8058,8004,44,2,8,8000,109.43833916666651,44,300.0144772727273
1616461200,8998,8956,38,0,4,8954,125.78353045193921,38,124.52177192982457
1616461500,8059,7976,66,1,16,7975,117.75547791013605,66,241.2812878787879
1616461800,6522,6489,28,0,5,6489,115.41690581496938,28,264.2562857142857
1616462100,9073,9014,53,0,6,9013,124.4638873848879,53,182.2984119496855
1616462400,7144,7127,12,0,5,7123,116.31170752023945,12,69.8481388888889
1616462700,8040,8023,12,0,5,8019,109.65228345180255,12,82.14663888888889
1616463000,8989,8956,32,0,1,8954,125.4270861626085,32,95.64523958333332
1616463300,8081,8063,12,0,6,8062,118.60504266931264,12,71.98533333333333
1616463600,6483,6468,13,0,2,6468,114.78307738095253,13,109.54061538461539
1616463900,9193,9155,33,4,1,9154,123.5038794880198,33,92.74856565656567
1616464200,7127,7113,11,1,2,7110,116.15440447726216,11,77.46092424242424
1616464500,8186,8163,20,0,3,8159,108.12116435837724,20,191.3724166666667
1616464800,8979,8945,33,0,1,8943,125.84026311081283,33,93.85432323232321
1616465100,8064,8045,12,1,6,8044,118.53953652826108,12,66.56855555555556
1616465400,6518,6497,19,0,2,6497,115.27988846134092,19,217.87624561403504
1616465700,9075,9031,42,0,2,9030,125.1361125322993,42,124.78256349206346
1616466000,7131,7104,22,1,4,7101,120.4346671126135,22,168.2390681818182
1616466300,8057,8012,39,0,6,8007,108.88693963615154,39,199.73235897435896
1616466600,8987,8939,42,0,6,8937,126.81097238073961,42,127.1252698412699
1616466900,8062,8025,32,0,5,8024,118.59802274426694,32,199.2445104166667
1616467200,6507,6465,41,0,1,6465,114.37736138179932,41,225.81976016260168
1616467500,9056,9010,44,0,2,9009,124.69597402597364,44,121.85112878787878
1616467800,7144,7120,23,0,1,7116,116.24519737211936,23,144.0104927536232
1616468100,8057,8013,40,0,4,8009,108.97926782369821,40,192.06214999999995
1616468400,8985,8941,43,0,1,8939,125.5279638755265,43,132.81755813953487
1616468700,8080,8056,23,1,0,8055,118.42435410717968,23,146.67618840579712
1616469000,6516,6475,40,0,1,6475,114.85465998712974,40,201.76530833333334
1616469300,9066,9016,48,0,2,9015,124.99994538731734,48,127.00959722222223
1616469600,7138,7116,20,0,2,7112,116.34215438695176,20,151.5576
1616469900,8060,7977,81,1,1,7973,109.4026609599064,81,137.91074074074072
1616470200,8999,8947,47,1,4,8929,128.5805317691418,47,129.33940425531912
1616470500,8055,8027,25,1,2,8014,122.80424143166117,24,292.2008125
1616470800,6509,6473,36,0,0,6473,114.61275536845338,36,214.85850000000005
1616471100,9181,9123,50,0,8,9122,123.78511201856324,50,119.16518333333337
1616471400,7131,7090,38,1,2,7087,116.53002648041037,38,136.72464035087725
1616471700,8172,8072,98,0,2,8068,107.70703327962315,98,141.4287159863945
1616472000,9009,8871,136,1,1,8869,125.27838125305392,136,123.61634313725484
1616472300,8069,7973,93,2,1,7972,118.79154714417156,93,104.03421146953406
1616472600,6526,6436,90,0,0,6436,114.99671035322142,90,155.95797407407406
1616472900,9062,8919,141,0,2,8918,124.57458010017194,141,117.49688416075644
1616473200,7136,7045,86,3,2,7042,116.27664252579781,86,108.26079069767442
1616473500,8066,7969,92,1,4,7965,109.02962661644725,92,159.56023188405797
1616473800,8980,8847,131,0,2,8845,125.76721418880686,131,124.34552162849873
1616474100,8066,8032,32,0,2,8031,118.2755809986301,32,133.33233333333334
1616474400,6509,6450,54,3,2,6450,114.3286059689922,54,198.74754938271604
1616474700,9066,8932,132,1,1,8931,128.9205736572987,132,122.80937878787887
1616475000,7118,7066,46,3,3,7063,121.54171610269506,46,125.25881884057972
1616475300,8068,8017,47,0,4,8013,108.9177552102829,47,190.4652198581559
