bin_timestamp,num_tr,target_ix,target_no_ix,no_target_ix,no_target_no_ix,target_ix_rtt_count,target_ix_rtt_avg,target_no_ix_rtt_count,target_no_ix_rtt_avg
1523318400,8746,7469,1228,1,48,7461,75.72489094402002,1228,78.48938925081431
1523318700,6802,5898,884,0,20,5896,72.42245242537315,884,68.71935991704379
1523319000,9099,8001,1027,0,71,8000,71.0486971249999,1027,70.06054706264209
1523319300,8547,7528,968,6,45,7527,78.15524002479994,968,70.67777651515142
1523319600,6692,5868,802,5,17,5865,72.58542486501838,802,68.96306982543646
1523319900,9001,7887,1041,10,63,7884,70.69692453069514,1041,69.19866698687154
1523320200,8727,7725,952,4,46,7717,76.27547803550596,952,71.85462920168061
1523320500,6843,5988,828,4,23,5985,72.87250788081316,828,68.17406582125605
1523320800,9086,7998,1014,5,69,7997,70.98046511191683,1014,69.51724161735703
1523321100,8519,7493,971,6,49,7492,77.46667678857436,971,70.43768056985925
1523321400,6675,5857,797,5,16,5855,72.59994258468531,797,68.93724362191544
1523321700,9047,7928,1050,5,64,7925,70.59616569926389,1050,72.20034746031747
1523322000,8737,7742,946,4,45,7734,76.2451084604776,946,71.8605669485553
1523322300,6810,6036,748,3,23,6034,72.04844478510684,748,70.0919652406417
1523322600,9104,8074,950,5,75,8073,70.2334618274908,950,69.11333982456138
1523322900,8557,7584,915,4,54,7583,77.72497046024029,915,72.42701384335157
1523323200,6692,5936,731,3,22,5934,71.97317264914038,731,70.30952804377569
1523323500,9027,7974,977,5,71,7970,70.12449558762017,977,71.04808256567728
1523323800,8718,7754,899,6,59,7747,76.1777194397833,899,71.74583889506859
1523324100,6838,6052,758,3,25,6050,71.87378699724506,758,69.78234146877749
1523324400,9092,8061,951,5,75,8060,70.67849822167064,951,69.63838888888887
1523324700,8530,7551,915,4,60,7550,77.24517847682095,915,72.3527340619307
1523325000,6677,5918,730,3,26,5916,72.15239641086305,730,70.27076073059372
1523325300,9062,8023,963,2,74,8020,69.88050430174573,963,72.63048390446511
1523325600,8743,7788,898,2,55,7780,76.0605119108828,898,72.79628971789164
1523325900,6789,5599,830,66,294,5597,70.31336567208633,830,72.12539718875496
1523326200,8952,5046,2530,114,1262,5044,62.217870274914006,2530,89.56879578392625
1523326500,8466,4708,3090,89,579,4707,67.53724095319032,3089,98.28451262544526
1523326800,6667,3752,2690,41,184,3750,62.8392035851852,2690,92.1767818463447
1523327100,8922,5248,3479,19,176,5245,60.782160247855224,3479,89.97180022995121
1523327400,8689,5058,3516,10,105,5050,66.86883996699643,3514,94.96093250806287
1523327700,6840,3875,2912,4,49,3873,61.24680518977529,2910,91.943025257732
1523328000,9038,5361,3600,7,70,5360,60.37885584577128,3600,92.50822351851868
1523328300,8481,4920,3494,2,65,4919,66.95401192654352,3494,97.73776636138128
1523328600,6688,3820,2830,4,34,3818,61.6012678976778,2830,93.74928616018859
1523328900,8979,5316,3603,5,55,5313,59.49486972206544,3603,91.81731760569897
1523329200,8713,5093,3539,6,75,5087,66.63426374418466,3537,96.82619941570057
1523329500,6816,3869,2898,6,43,3868,60.90490102550847,2897,92.70085128293633
1523329800,9041,5392,3588,6,55,5391,59.44420815556806,3588,93.29843873095513
1523330100,8557,4978,3505,6,68,4977,67.25494551604051,3505,98.0810005230626
1523330400,6675,3830,2801,5,39,3828,60.55297910135837,2801,94.93514155658676
1523330700,8914,5267,3577,6,64,5264,59.764116483029234,3576,92.02043516964969
1523331000,8694,5104,3521,5,64,5098,65.84219416110886,3519,96.69061011651043
1523331300,6837,3795,2999,4,39,3794,58.906462616411886,2998,95.85932810762708
1523331600,9009,5313,3631,6,59,5312,58.12558907505011,3631,95.84227549802644
1523331900,8469,4933,3466,6,64,4932,66.94443133279248,3466,98.07620049528738
1523332200,6666,4139,2434,19,74,4137,62.551357424865,2434,94.13258826348952
1523332500,8983,6680,2218,11,74,6677,64.89937342119724,2218,91.21631792906526
1523332800,8676,6796,1821,5,54,6788,73.84447728835192,1821,90.32815421929351
1523333100,6806,5549,1213,3,41,5547,70.54672672916297,1213,80.78782082989828
1523333400,9038,7665,1318,8,47,7664,68.84928933977066,1318,85.53131929691428
1523333700,8509,7234,1172,32,71,7233,76.65864793308435,1172,84.84206783276454
1523334000,6696,5767,917,2,10,5765,71.46027877999437,917,77.9307878953108
1523334300,8968,7861,1088,7,12,7857,70.0593276059563,1088,73.52941161151958
1523334600,8717,7682,1015,6,14,7675,76.47280036916398,1015,75.55352446633827
1523334900,6838,5982,842,3,11,5980,72.49339841137112,842,70.54270546318286
1523335200,9074,8024,1032,4,14,8023,70.88651740828459,1031,69.51538021338493
1523335500,8493,7478,996,3,16,7477,77.68986774998912,996,73.46108366800536
1523335800,6672,5869,792,2,9,5867,71.934113317425,792,72.17099242424241
1523336100,9036,8129,880,3,24,8126,69.46386586266317,880,76.20011079545455
1523336400,8703,7847,832,3,21,7839,75.88254658332299,832,78.183562900641
1523336700,6810,6053,739,3,15,6051,71.38124246680988,739,74.24798556608019
1523337000,9079,8219,847,3,10,8218,69.66318096454926,847,75.48575954348686
1523337300,8539,7682,837,3,17,7681,77.57933259558233,837,79.60445937873357
1523337600,6692,5979,705,3,5,5977,71.80872028888534,705,77.55608983451536
1523337900,8994,8126,848,3,17,8123,69.81810981164598,848,78.18456308962267
1523338200,8703,7850,830,3,20,7842,76.67138579656547,830,79.0176449799197
1523338500,6837,6100,722,2,13,6098,72.85168172624927,722,74.68607940904896
1523338800,9074,8219,844,0,11,8218,70.76228384846257,844,75.79818285939976
1523339100,8486,7642,827,0,17,7641,77.61070512149368,827,79.08391374445782
1523339400,6678,5946,724,0,8,5944,71.96119835127844,724,75.02151243093927
1523339700,9015,8134,863,5,13,8131,69.69643557577997,863,76.19170760911541
1523340000,8721,7879,819,6,17,7871,75.74113195697312,819,79.70255514855513
1523340300,6806,6069,721,3,13,6067,71.42949255535407,721,75.8019331946371
1523340600,9087,8233,838,5,11,8232,70.08809678895373,838,75.04339160700076
1523340900,8528,7680,821,8,19,7679,76.76590708425573,821,79.66811936662606
1523341200,6682,5964,708,3,7,5961,71.34438094838657,708,76.54878531073437
1523341500,8977,8114,845,6,12,8110,71.48201251541329,845,77.19615246548324
1523341800,8712,7863,828,6,15,7855,76.06191627413548,828,80.25001791465385
1523342100,6847,6117,716,6,8,6115,71.89794428999726,716,75.15668621973929
1523342400,9064,8211,835,8,10,8210,69.70230095412067,835,75.08002754491015
1523342700,8494,7645,828,6,15,7644,77.2577679007502,828,79.99314331723026
1523343000,6670,5951,706,4,9,5949,71.9134873928392,706,76.15868720491032
1523343300,9032,8165,847,8,12,8161,69.33394925050045,847,76.87679279811093
1523343600,8714,7859,830,7,18,7852,75.26194631940925,830,79.36151104417681
1523343900,6815,6076,718,3,18,6074,71.76021789595009,718,77.642430362117
1523344200,9091,8223,852,7,9,8222,69.77277663585535,852,75.83431924882638
1523344500,8522,7667,830,6,19,7666,75.98254091660164,830,79.8634397590361
1523344800,6680,5963,702,3,12,5961,71.52696099647714,702,76.59741927825267
1523345100,8984,8111,855,5,13,8107,69.28927022943122,855,78.87612319688107
1523345400,8694,7845,829,6,14,7838,75.13125061665393,828,80.76038707729464
1523345700,6859,6129,714,3,13,6127,70.77680811707734,714,75.90255835667604
1523346000,9052,8204,833,5,10,8203,69.84925880775296,833,77.17068647458973
1523346300,8500,7651,828,3,18,7650,75.90960448801732,828,80.82105193236713
1523346600,6664,5949,705,2,8,5947,71.00275141527976,705,77.03199692671384
1523346900,9049,8175,854,3,17,8171,69.36003302329361,854,78.57192622950824
1523347200,8686,7837,829,7,13,7831,75.27600802366642,828,79.12331441223834
1523347500,6810,6076,716,3,15,6074,71.08177159477566,716,76.23867481378026
1523347800,9086,8231,834,7,14,8230,69.57996735520466,834,75.21530895283773
1523348100,8535,7685,830,5,15,7684,76.65616460610819,830,79.64764939759041
1523348400,6667,5953,700,4,10,5951,71.2718593513694,700,75.65987119047622
1523348700,8972,8101,850,7,14,8098,69.8001391290032,850,80.61244000000008
1523349000,8685,7841,826,6,12,7834,75.40563222278946,825,79.96921555555555
1523349300,6836,6095,724,4,13,6093,70.90913154439481,724,76.2252792357275
1523349600,9067,8182,863,8,14,8181,69.61140795746236,863,77.0860724217845
1523349900,8471,7626,826,7,12,7625,76.16450974863429,826,79.53710673930584
1523350200,6674,5940,726,3,5,5938,71.55459590771312,726,75.67673737373737
1523350500,8996,8087,885,7,17,8084,69.08276115371937,885,76.94096101694915
