p,dependencies,identifier
0.0,1,49570
0.00014349261013057828,1,64208
0.00028698522026115655,1,197692
0.00043047783039173483,1,37661
0.0005739704405223131,1,15250
0.0007174630506528914,1,203440
0.0008609556607834697,1,396168
0.001004448270914048,1,41697
0.0011479408810446262,1,52427
0.0012914334911752045,1,32244
0.0014349261013057828,1,5503
0.001578418711436361,1,29457
0.0017219113215669393,1,208913
0.0018654039316975176,1,15435
0.002008896541828096,1,11084
0.002152389151958674,1,267278
0.0022958817620892524,1,21694
0.0024393743722198307,1,38201
0.002582866982350409,1,208468
0.0027263595924809873,1,39257
0.0028698522026115655,1,263740
0.003013344812742144,1,52485
0.003156837422872722,1,265550
0.0033003300330033004,1,262775
0.0034438226431338786,1,271042
0.003587315253264457,1,14858
0.003730807863395035,1,17227
0.0038743004735256135,1,59521
0.004017793083656192,1,263025
0.00416128569378677,1,61786
0.004304778303917348,1,8030
0.004448270914047927,1,32234
0.004591763524178505,1,22616
0.004735256134309083,1,3734
0.004878748744439661,1,8816
0.00502224135457024,1,39324
0.005165733964700818,1,197248
0.005309226574831396,1,9842
0.0054527191849619745,1,9554
0.005596211795092553,1,263817
0.005739704405223131,1,52850
0.005883197015353709,1,132389
0.006026689625484288,1,27323
0.006170182235614866,1,25415
0.006313674845745444,1,207199
0.0064571674558760225,1,52979
0.006600660066006601,1,269153
0.006744152676137179,1,266399
0.006887645286267757,1,49101
0.007031137896398336,1,7131
0.007174630506528914,1,17429
0.007318123116659492,1,34359
0.00746161572679007,1,201535
0.007605108336920649,1,50780
0.007748600947051227,1,27895
0.007892093557181805,1,18379
0.008035586167312384,1,49902
0.008179078777442962,1,135462
0.00832257138757354,1,39397
0.008466063997704118,1,48294
0.008609556607834697,1,45346
0.008753049217965275,1,52935
0.008896541828095853,1,141592
0.009040034438226431,1,12980
0.00918352704835701,1,2140
0.009327019658487588,1,14904
0.009470512268618166,1,42187
0.009614004878748745,1,267076
0.009757497488879323,1,17683
0.009900990099009901,1,28606
0.01004448270914048,1,38001
0.010187975319271058,1,30362
0.010331467929401636,1,30925
0.010474960539532214,1,9999
0.010618453149662792,1,23647
0.01076194575979337,1,33361
0.010905438369923949,1,3778
0.011048930980054527,1,55879
0.011192423590185106,1,31507
0.011335916200315684,1,132857
0.011479408810446262,1,38726
0.01162290142057684,1,397803
0.011766394030707419,1,38516
0.011909886640837997,1,198930
0.012053379250968575,1,24586
0.012196871861099154,1,56462
0.012340364471229732,1,4229
0.01248385708136031,1,6233
0.012627349691490888,1,59942
0.012770842301621467,1,133652
0.012914334911752045,1,8798
0.013057827521882623,1,25764
0.013201320132013201,1,16491
0.01334481274214378,1,35575
0.013488305352274358,1,49673
0.013631797962404936,1,7298
0.013775290572535515,1,57285
0.013918783182666093,1,266989
0.014062275792796671,1,51793
0.01420576840292725,1,135868
0.014349261013057828,1,3242
0.014492753623188406,1,12929
0.014636246233318984,1,45400
0.014779738843449563,1,132581
0.01492323145358014,1,61681
0.015066724063710719,1,23422
0.015210216673841297,1,15149
0.015353709283971876,1,8878
0.015497201894102454,1,394233
0.01564069450423303,1,39293
0.01578418711436361,1,267788
0.015927679724494187,1,4258
0.016071172334624767,1,37254
0.016214664944755344,1,61918
0.016358157554885924,1,11168
0.0165016501650165,1,28230
0.01664514277514708,1,196897
0.016788635385277657,1,19504
0.016932127995408237,1,17763
0.017075620605538813,1,328038
0.017219113215669393,1,33873
0.01736260582579997,1,141107
0.01750609843593055,1,41678
0.017649591046061126,1,7055
0.017793083656191706,1,7587
0.017936576266322283,1,58913
0.018080068876452863,1,53185
0.01822356148658344,1,52947
0.01836705409671402,1,269851
0.018510546706844596,1,203816
0.018654039316975176,1,263424
0.018797531927105753,1,134343
0.018941024537236333,1,48854
0.01908451714736691,1,30827
0.01922800975749749,1,267469
0.019371502367628066,1,267367
0.019514994977758646,1,139014
0.019658487587889222,1,26609
0.019801980198019802,1,212041
0.01994547280815038,1,63290
0.02008896541828096,1,199181
0.020232458028411535,1,61888
0.020375950638542115,1,9601
0.020519443248672692,1,27166
0.020662935858803272,1,14701
0.02080642846893385,1,207181
0.02094992107906443,1,264211
0.021093413689195005,1,59547
0.021236906299325585,1,19255
0.02138039890945616,1,201962
0.02152389151958674,1,35033
0.021667384129717318,1,63264
0.021810876739847898,1,266784
0.021954369349978475,1,35026
0.022097861960109055,1,265015
0.02224135457023963,1,50398
0.02238484718037021,1,206548
0.022528339790500788,1,62143
0.022671832400631368,1,56828
0.022815325010761944,1,32945
0.022958817620892524,1,203507
0.0231023102310231,1,264009
0.02324580284115368,1,52263
0.023389295451284257,1,63318
0.023532788061414837,1,27618
0.023676280671545414,1,11417
0.023819773281675994,1,16176
0.02396326589180657,1,29304
0.02410675850193715,1,51184
0.024250251112067727,1,44838
0.024393743722198307,1,137166
0.024537236332328884,1,264351
0.024680728942459464,1,39407
0.02482422155259004,1,201502
0.02496771416272062,1,28573
0.025111206772851197,1,52557
0.025254699382981777,1,266608
0.025398191993112353,1,57456
0.025541684603242933,1,62429
0.02568517721337351,1,48092
0.02582866982350409,1,35768
0.025972162433634666,1,29355
0.026115655043765246,1,264449
0.026259147653895823,1,29050
0.026402640264026403,1,61834
0.02654613287415698,1,41805
0.02668962548428756,1,265980
0.026833118094418136,1,270595
0.026976610704548716,1,26413
0.027120103314679293,1,31445
0.027263595924809873,1,138760
0.02740708853494045,1,133593
0.02755058114507103,1,31033
0.027694073755201606,1,23465
0.027837566365332186,1,53076
0.027981058975462762,1,262669
0.028124551585593342,1,43067
0.02826804419572392,1,57697
0.0284115368058545,1,50986
0.028555029415985075,1,34244
0.028698522026115655,1,57494
0.028842014636246232,1,199348
