p,dependencies,identifier
0.0,1,35574
0.00016276041666666666,1,197556
0.0003255208333333333,1,22394
0.00048828125,1,47927
0.0006510416666666666,1,267025
0.0008138020833333334,1,134012
0.0009765625,1,37030
0.0011393229166666667,1,37239
0.0013020833333333333,1,262901
0.00146484375,1,41525
0.0016276041666666667,1,16128
0.0017903645833333333,1,40545
0.001953125,1,31472
0.0021158854166666665,1,52892
0.0022786458333333335,1,35790
0.00244140625,1,10464
0.0026041666666666665,1,19530
0.0027669270833333335,1,6921
0.0029296875,1,12390
0.0030924479166666665,1,41985
0.0032552083333333335,1,38266
0.00341796875,1,28163
0.0035807291666666665,1,267624
0.0037434895833333335,1,28327
0.00390625,1,46031
0.004069010416666667,1,10269
0.004231770833333333,1,28599
0.00439453125,1,16880
0.004557291666666667,1,29108
0.004720052083333333,1,17622
0.0048828125,1,34304
0.005045572916666667,1,57207
0.005208333333333333,1,52116
0.00537109375,1,10013
0.005533854166666667,1,203244
0.005696614583333333,1,208693
0.005859375,1,58470
0.006022135416666667,1,204035
0.006184895833333333,1,34102
0.00634765625,1,263527
0.006510416666666667,1,197637
0.006673177083333333,1,51985
0.0068359375,1,33294
0.006998697916666667,1,14818
0.007161458333333333,1,6977
0.00732421875,1,8553
0.007486979166666667,1,38753
0.007649739583333333,1,29667
0.0078125,1,13614
0.007975260416666666,1,271885
0.008138020833333334,1,39232
0.00830078125,1,48149
0.008463541666666666,1,42742
0.008626302083333334,1,59288
0.0087890625,1,394140
0.008951822916666666,1,34254
0.009114583333333334,1,202105
0.00927734375,1,395968
0.009440104166666666,1,264238
0.009602864583333334,1,42160
0.009765625,1,7610
0.009928385416666666,1,58666
0.010091145833333334,1,265021
0.01025390625,1,50495
0.010416666666666666,1,58185
0.010579427083333334,1,24298
0.0107421875,1,35617
0.010904947916666666,1,22413
0.011067708333333334,1,13032
0.01123046875,1,32323
0.011393229166666666,1,40945
0.011555989583333334,1,266076
0.01171875,1,8540
0.011881510416666666,1,263939
0.012044270833333334,1,29686
0.01220703125,1,263993
0.012369791666666666,1,15255
0.012532552083333334,1,56899
0.0126953125,1,5006
0.012858072916666666,1,7727
0.013020833333333334,1,43733
0.01318359375,1,262363
0.013346354166666666,1,262485
0.013509114583333334,1,18015
0.013671875,1,48441
0.013834635416666666,1,196705
0.013997395833333334,1,32708
0.01416015625,1,55990
0.014322916666666666,1,132525
0.014485677083333334,1,264509
0.0146484375,1,133612
0.014811197916666666,1,32869
0.014973958333333334,1,138737
0.01513671875,1,393892
0.015299479166666666,1,10423
0.015462239583333334,1,31515
0.015625,1,59268
0.015787760416666668,1,10730
0.015950520833333332,1,51248
0.01611328125,1,38888
0.016276041666666668,1,10135
0.016438802083333332,1,140292
0.0166015625,1,36728
0.016764322916666668,1,15894
0.016927083333333332,1,15221
0.01708984375,1,5619
0.017252604166666668,1,56067
0.017415364583333332,1,52698
0.017578125,1,37515
0.017740885416666668,1,30048
0.017903645833333332,1,11650
0.01806640625,1,24373
0.018229166666666668,1,29311
0.018391927083333332,1,36669
0.0185546875,1,61649
0.018717447916666668,1,55329
0.018880208333333332,1,28142
0.01904296875,1,149994
0.019205729166666668,1,28919
0.019368489583333332,1,39798
0.01953125,1,135290
0.019694010416666668,1,49070
0.019856770833333332,1,12842
0.02001953125,1,204490
0.020182291666666668,1,132040
0.020345052083333332,1,4544
0.0205078125,1,17685
0.020670572916666668,1,8943
0.020833333333333332,1,203929
0.02099609375,1,15389
0.021158854166666668,1,48209
0.021321614583333332,1,7631
0.021484375,1,262832
0.021647135416666668,1,264200
0.021809895833333332,1,28110
0.02197265625,1,52423
0.022135416666666668,1,36315
0.022298177083333332,1,265575
0.0224609375,1,20900
0.022623697916666668,1,30836
0.022786458333333332,1,263031
0.02294921875,1,27357
0.023111979166666668,1,19994
0.023274739583333332,1,262237
0.0234375,1,29690
0.023600260416666668,1,52106
0.023763020833333332,1,135375
0.02392578125,1,47381
0.024088541666666668,1,205343
0.024251302083333332,1,393670
0.0244140625,1,19955
0.024576822916666668,1,57723
0.024739583333333332,1,11481
0.02490234375,1,33623
0.025065104166666668,1,212426
0.025227864583333332,1,18563
0.025390625,1,27823
0.025553385416666668,1,7500
0.025716145833333332,1,21267
0.02587890625,1,57389
0.026041666666666668,1,7532
0.026204427083333332,1,38843
0.0263671875,1,200147
0.026529947916666668,1,135259
0.026692708333333332,1,207134
0.02685546875,1,199508
0.027018229166666668,1,45302
0.027180989583333332,1,138336
0.02734375,1,58095
0.027506510416666668,1,52907
0.027669270833333332,1,42397
0.02783203125,1,26935
0.027994791666666668,1,327767
0.028157552083333332,1,43451
0.0283203125,1,269524
0.028483072916666668,1,266279
0.028645833333333332,1,33362
0.02880859375,1,42605
0.028971354166666668,1,266166
0.029134114583333332,1,266498
0.029296875,1,265113
0.029459635416666668,1,57119
0.029622395833333332,1,138024
