asn,count,cc
272552,1,BR
272553,1,BR
272554,1,BR
272555,1,BR
272558,1,BR
272559,2,BR;US
272561,1,BR
272563,1,BR
272564,1,BR
272566,1,BR
272567,1,BR
272568,1,BR
272569,1,BR
272572,1,BR
272573,1,BR
272575,2,BR;US
272576,1,BR
272577,1,BR
272578,1,BR
272579,1,BR
272580,1,BR
272581,1,BR
272584,1,BR
272585,1,BR
272586,1,BR
272587,1,BR
272588,2,BR;US
272589,1,BR
272590,1,BR
272591,1,US
272592,1,BR
272593,1,BR
272594,1,BR
272595,1,BR
272597,1,BR
272598,1,BR
272599,1,BR
272601,1,BR
272602,1,BR
272603,1,BR
272604,2,BR;US
272606,1,BR
272607,1,BR
272608,1,BR
272610,1,BR
272611,3,BR;ES;GB
272612,1,BR
272613,1,BR
272614,1,BR
272615,1,BR
272616,1,BR
272618,1,BR
272619,1,BR
272620,1,BR
272623,1,BR
272624,1,BR
272626,1,BR
272627,1,BR
272628,1,BR
272629,1,BR
272631,1,BR
272632,1,BR
272633,1,BR
272635,1,BR
272636,1,BR
272637,1,BR
272638,1,BR
272639,1,BR
272641,1,BR
272642,1,BR
272643,1,BR
272644,1,BR
272645,1,BR
272648,1,BR
272650,1,BR
