p,mean_hege,identifier
0.0,0.10277777777777777,4
0.009708737864077669,0.10782312925170068,977
0.019417475728155338,0.10902777777777778,676
0.02912621359223301,0.11037037037037038,3017
0.038834951456310676,0.11166666666666666,1214
0.04854368932038835,0.11569046421987599,84
0.05825242718446602,0.11666666666666665,321
0.06796116504854369,0.11759259259259258,255
0.07766990291262135,0.11833333333333336,55
0.08737864077669903,0.12,1149
0.0970873786407767,0.12037037037037036,2845
0.10679611650485436,0.12432306255835668,184
0.11650485436893204,0.12516339869281046,481
0.1262135922330097,0.125503663003663,7
0.13592233009708737,0.12632294584500467,1277
0.14563106796116504,0.1269701213818861,12
0.1553398058252427,0.12859804671878974,70
0.1650485436893204,0.12959307992202732,3
0.17475728155339806,0.1305053954969348,64
0.18446601941747573,0.1311111111111111,291
0.1941747572815534,0.13144016227180527,2846
0.20388349514563106,0.13287383640324818,30
0.21359223300970873,0.13295454545454546,2868
0.22330097087378642,0.13317307692307692,74
0.23300970873786409,0.13336002027129026,63
0.24271844660194175,0.13402777777777777,327
0.2524271844660194,0.13429610684853652,954
0.2621359223300971,0.13446438082653986,50
0.27184466019417475,0.13555021367521367,87
0.2815533980582524,0.13838206093108052,710
0.2912621359223301,0.13972073677956032,779
0.30097087378640774,0.14539682539682539,167
0.3106796116504854,0.1461038961038961,264
0.32038834951456313,0.14777777777777779,94
0.3300970873786408,0.14968434343434345,1088
0.33980582524271846,0.15023551205775573,359
0.34951456310679613,0.15314746472917387,1154
0.3592233009708738,0.15337844345197288,3280
0.36893203883495146,0.1541625645509075,713
0.3786407766990291,0.15476190476190477,2005
0.3883495145631068,0.15491588545855323,482
0.39805825242718446,0.15753968253968254,864
0.4077669902912621,0.1588235294117647,597
0.4174757281553398,0.16198795616057077,158
0.42718446601941745,0.16228388747201972,358
0.4368932038834951,0.1626984126984127,1146
0.44660194174757284,0.16391041701572756,429
0.4563106796116505,0.16406101614434948,2
0.46601941747572817,0.16427368284228763,14
0.47572815533980584,0.1643443362193362,59
0.4854368932038835,0.16435805121950633,119
0.49514563106796117,0.1649207491000441,142
0.5048543689320388,0.1651309012003155,35
0.5145631067961165,0.1663574960567442,780
0.5242718446601942,0.17184399984399984,1842
0.5339805825242718,0.17694366570121525,171
0.5436893203883495,0.17890989729225024,716
0.5533980582524272,0.1794622697563874,249
0.5631067961165048,0.18028602984609243,17
0.5728155339805825,0.18439008907758908,655
0.5825242718446602,0.18466968980344559,592
0.5922330097087378,0.1847886178149336,126
0.6019417475728155,0.18604450113378687,5
0.6116504854368932,0.1882127679250394,1242
0.6213592233009708,0.1917216117216117,115
0.6310679611650486,0.19347643097643097,364
0.6407766990291263,0.19662684307530282,326
0.6504854368932039,0.20600840336134457,1627
0.6601941747572816,0.20941327453546452,3788
0.6699029126213593,0.21605045374078505,177
0.6796116504854369,0.21613636363636368,95
0.6893203883495146,0.21989885887136193,42
0.6990291262135923,0.22260195613861364,13
0.7087378640776699,0.22716933264533884,2149
0.7184466019417476,0.23019607843137257,2084
0.7281553398058253,0.2374368686868687,331
0.7378640776699029,0.24588733961017356,60
0.7475728155339806,0.24880654015992362,2163
0.7572815533980582,0.2613888888888889,1249
0.7669902912621359,0.26548965437854327,1514
0.7766990291262136,0.2655814240504456,1028
0.7864077669902912,0.2725652340954065,270
0.7961165048543689,0.27532563412962086,1178
0.8058252427184466,0.27716847422729773,1320
0.8155339805825242,0.2805808434484905,48
0.8252427184466019,0.2869684060661013,1533
0.8349514563106796,0.2898065476190476,53
0.8446601941747572,0.2913395621406457,3018
0.8543689320388349,0.3042075759701,1977
0.8640776699029126,0.31670658501091437,2013
0.8737864077669902,0.32013414217361585,252
0.883495145631068,0.3294034090909091,446
0.8932038834951457,0.34099377376385337,355
0.9029126213592233,0.3621574219121321,1978
0.912621359223301,0.36401443654668103,3149
0.9223300970873787,0.3703237503237503,832
0.9320388349514563,0.376205617382088,3791
0.941747572815534,0.3824916573971079,1329
0.9514563106796117,0.3878356206649767,24
0.9611650485436893,0.39370370370370367,488
0.970873786407767,0.4166666666666667,1561
0.9805825242718447,0.41966889895349985,224
0.9902912621359223,0.46882716049382717,250
1.0,0.6234669484478936,1006
