p,mean_hege,identifier
0.0,0.13713283949992816,11164
0.009259259259259259,0.14560283002179228,57463
0.018518518518518517,0.15840022692431063,1103
0.027777777777777776,0.19917624412234433,21320
0.037037037037037035,0.22158636531255743,8167
0.046296296296296294,0.2414170546847164,2152
0.05555555555555555,0.26720790796775534,1299
0.06481481481481481,0.27354911626947953,20764
0.07407407407407407,0.29078932943481817,2914
0.08333333333333333,0.2961027615729807,20965
0.09259259259259259,0.29796469357633903,3491
0.10185185185185185,0.310643337554269,23930
0.1111111111111111,0.31230117022006765,7922
0.12037037037037036,0.31785190403396785,3257
0.12962962962962962,0.33580092629688346,6762
0.1388888888888889,0.34287927043449895,9002
0.14814814814814814,0.344360625862647,13786
0.1574074074074074,0.34654674102969835,6461
0.16666666666666666,0.3465930720446027,174
0.17592592592592593,0.34866583428950176,15412
0.18518518518518517,0.35345649753996755,37468
0.19444444444444445,0.35801790457307614,3356
0.2037037037037037,0.3636798926193188,1828
0.21296296296296297,0.36630413064615397,201011
0.2222222222222222,0.3686258411776897,14840
0.23148148148148148,0.3713449632210004,29470
0.24074074074074073,0.3758865726640122,52320
0.25,0.37752102080726074,7018
0.25925925925925924,0.3786614842918059,20115
0.26851851851851855,0.3818175881339204,3303
0.2777777777777778,0.39136032922496283,35280
0.28703703703703703,0.395247765363889,5511
0.2962962962962963,0.39528293594817315,35598
0.3055555555555556,0.395787125407906,1239
0.3148148148148148,0.39862708577378436,4637
0.32407407407407407,0.4120567866046651,7473
0.3333333333333333,0.4122086450760378,262589
0.3425925925925926,0.41429971713851316,1273
0.35185185185185186,0.4159782774164663,8708
0.3611111111111111,0.4269326691982329,6453
0.37037037037037035,0.42882265340594716,29076
0.37962962962962965,0.4324963407915142,701
0.3888888888888889,0.43967343755562044,28917
0.39814814814814814,0.4442955858431182,3549
0.4074074074074074,0.45025831837397234,2516
0.4166666666666667,0.45460991995690386,3216
0.42592592592592593,0.45506521447134274,31133
0.4351851851851852,0.45589256734689715,13237
0.4444444444444444,0.45618052307931306,3320
0.4537037037037037,0.45633866725149413,577
0.46296296296296297,0.46641056015020677,61568
0.4722222222222222,0.46747705977149934,8218
0.48148148148148145,0.4689579009452803,20485
0.49074074074074076,0.471036547802232,7738
0.5,0.480885817349729,6939
0.5092592592592593,0.4820373421028954,10796
0.5185185185185185,0.4844202465775378,16735
0.5277777777777778,0.5013930969543078,6830
0.5370370370370371,0.5111665686535528,3223
0.5462962962962963,0.5112831011215445,20804
0.5555555555555556,0.5114515208072343,7029
0.5648148148148148,0.5123356536362831,58453
0.5740740740740741,0.5139965057685618,3786
0.5833333333333334,0.5243970710234993,64049
0.5925925925925926,0.5265651934375913,3326
0.6018518518518519,0.5319261368627964,2497
0.6111111111111112,0.5382161161581502,26599
0.6203703703703703,0.5396615180979536,8220
0.6296296296296297,0.5462089189275543,209
0.6388888888888888,0.5505117028589124,5617
0.6481481481481481,0.555092021708272,7843
0.6574074074074074,0.5553746526486089,132602
0.6666666666666666,0.5665751831984728,1221
0.6759259259259259,0.567369399174179,12956
0.6851851851851852,0.5679008727201839,3561
0.6944444444444444,0.5716104165740504,6223
0.7037037037037037,0.5788810563735673,12389
0.7129629629629629,0.5795334048388259,4230
0.7222222222222222,0.5942132113266612,8359
0.7314814814814815,0.6006947096757291,12912
0.7407407407407407,0.6076247539551654,39392
0.75,0.6081027690163453,22773
0.7592592592592593,0.6092356101195705,9498
0.7685185185185185,0.6150166649716734,37100
0.7777777777777778,0.6192648106160752,4755
0.7870370370370371,0.6201117927406781,46887
0.7962962962962963,0.624545727772665,23106
0.8055555555555556,0.6258250434476407,7713
0.8148148148148148,0.6262031261570615,30844
0.8240740740740741,0.6381905244429372,9049
0.8333333333333334,0.6477099134473903,12741
0.8425925925925926,0.6511419992735754,9318
0.8518518518518519,0.6571418869533661,136106
0.8611111111111112,0.6592735210559504,23520
0.8703703703703703,0.6611298178870617,37662
0.8796296296296297,0.6644082993619239,9942
0.8888888888888888,0.6720882324803802,7545
0.8981481481481481,0.6819968622206527,29535
0.9074074074074074,0.6830382714128775,58717
0.9166666666666666,0.6983128072491557,12552
0.9259259259259259,0.7050134792484664,4826
0.9351851851851852,0.7102334360313582,4766
0.9444444444444444,0.7106262603332211,7303
0.9537037037037037,0.7329431347215297,12874
0.9629629629629629,0.7479991783195518,9121
0.9722222222222222,0.78456707650337,29049
0.9814814814814815,0.7923401171177596,13335
0.9907407407407407,0.8205101322115729,4134
1.0,0.8221567668313339,32787
