p,mean_hege,identifier
0.0,0.1,1056
0.009433962264150943,0.1,1869
0.018867924528301886,0.1,2786
0.02830188679245283,0.1,1303
0.03773584905660377,0.1,3212
0.04716981132075472,0.1,565
0.05660377358490566,0.10555555555555556,347
0.0660377358490566,0.11024305555555555,3471
0.07547169811320754,0.1111111111111111,583
0.08490566037735849,0.1111111111111111,1449
0.09433962264150944,0.1111111111111111,123
0.10377358490566038,0.1111111111111111,62
0.11320754716981132,0.1111111111111111,3654
0.12264150943396226,0.1111111111111111,3562
0.1320754716981132,0.1111111111111111,299
0.14150943396226415,0.1125,98
0.1509433962264151,0.1125,83
0.16037735849056603,0.11538461538461539,3903
0.16981132075471697,0.11764705882352941,121
0.1792452830188679,0.11764705882352941,1999
0.18867924528301888,0.11805555555555555,78
0.19811320754716982,0.1206896551724138,694
0.20754716981132076,0.12406015037593984,577
0.2169811320754717,0.125,129
0.22641509433962265,0.125,3789
0.2358490566037736,0.125,880
0.24528301886792453,0.125,1086
0.25471698113207547,0.125,745
0.2641509433962264,0.125,1150
0.27358490566037735,0.125,392
0.2830188679245283,0.125,2611
0.29245283018867924,0.125,165
0.3018867924528302,0.12692307692307692,1308
0.3113207547169811,0.12916666666666665,82
0.32075471698113206,0.13392857142857142,2847
0.330188679245283,0.13513513513513514,3182
0.33962264150943394,0.13516447368421053,198
0.3490566037735849,0.13555555555555554,2343
0.3584905660377358,0.13636363636363635,204
0.36792452830188677,0.13829113924050634,424
0.37735849056603776,0.14285714285714285,2088
0.3867924528301887,0.14583333333333331,2572
0.39622641509433965,0.15384615384615385,145
0.4056603773584906,0.15384615384615385,193
0.41509433962264153,0.15555555555555556,984
0.42452830188679247,0.16666666666666666,3750
0.4339622641509434,0.16666666666666666,22
0.44339622641509435,0.175,587
0.4528301886792453,0.17647058823529413,248
0.46226415094339623,0.17777777777777776,1423
0.4716981132075472,0.18181818181818182,607
0.4811320754716981,0.18181818181818182,2761
0.49056603773584906,0.1842201856588046,2522
0.5,0.18483709273182958,155
0.5094339622641509,0.1867816091954023,2035
0.5188679245283019,0.19047619047619047,1519
0.5283018867924528,0.19675925925925924,1772
0.5377358490566038,0.2,3211
0.5471698113207547,0.2,303
0.5566037735849056,0.2,986
0.5660377358490566,0.2,2250
0.5754716981132075,0.2043045705279748,2730
0.5849056603773585,0.20535714285714285,491
0.5943396226415094,0.21212121212121213,3472
0.6037735849056604,0.21428571428571427,965
0.6132075471698113,0.21621621621621623,3553
0.6226415094339622,0.21875,387
0.6320754716981132,0.2222222222222222,2365
0.6415094339622641,0.2222222222222222,325
0.6509433962264151,0.23076923076923078,234
0.660377358490566,0.25,1421
0.6698113207547169,0.2583333333333333,3352
0.6792452830188679,0.3055555555555556,2680
0.6886792452830188,0.3076923076923077,2210
0.6981132075471698,0.31896551724137934,513
0.7075471698113207,0.32,474
0.7169811320754716,0.3323809523809524,1207
0.7264150943396226,0.3333333333333333,935
0.7358490566037735,0.3333333333333333,1212
0.7452830188679245,0.3333333333333333,1981
0.7547169811320755,0.3333333333333333,178
0.7641509433962265,0.35111111111111115,781
0.7735849056603774,0.36363636363636365,69
0.7830188679245284,0.375,1025
0.7924528301886793,0.38461538461538464,21
0.8018867924528302,0.3892307692307692,3739
0.8113207547169812,0.4,1982
0.8207547169811321,0.40625,2050
0.8301886792452831,0.4074074074074074,212
0.839622641509434,0.4444444444444444,1574
0.8490566037735849,0.4838709677419355,639
0.8584905660377359,0.5,993
0.8679245283018868,0.5,2836
0.8773584905660378,0.5069444444444444,1323
0.8867924528301887,0.5239234449760766,375
0.8962264150943396,0.5350877192982456,239
0.9056603773584906,0.575,172
0.9150943396226415,0.5833333333333333,92
0.9245283018867925,0.5833333333333334,267
0.9339622641509434,0.5833333333333334,1151
0.9433962264150944,0.5833333333333334,301
0.9528301886792453,0.5882352941176471,1997
0.9622641509433962,0.5942028985507246,254
0.9716981132075472,0.6136363636363636,635
0.9811320754716981,0.6428571428571429,2729
0.9905660377358491,0.6541666666666667,235
1.0,0.8545454545454545,3655
