p,mean_hege,identifier
0.0,0.1858847201215485,57463
0.011363636363636364,0.18931694483046788,7843
0.022727272727272728,0.1899747531643274,33891
0.03409090909090909,0.19508185890041493,21320
0.045454545454545456,0.21897972366809268,20965
0.056818181818181816,0.26255205787346775,1299
0.06818181818181818,0.2630500115559199,20764
0.07954545454545454,0.28440401952282013,2914
0.09090909090909091,0.3036444113272283,1273
0.10227272727272728,0.3073842093908871,9002
0.11363636363636363,0.3104679909506435,1828
0.125,0.31400859817448146,15412
0.13636363636363635,0.32641604447348865,3257
0.14772727272727273,0.3277070814914952,201011
0.1590909090909091,0.330987146532401,5511
0.17045454545454544,0.3332138307871995,3491
0.18181818181818182,0.34008186157240156,28917
0.19318181818181818,0.344335921172686,6461
0.20454545454545456,0.352992060577437,37468
0.2159090909090909,0.3540393749384064,13786
0.22727272727272727,0.3571601341555071,14840
0.23863636363636365,0.3601367483181947,174
0.25,0.36361464629465123,3216
0.26136363636363635,0.3686460118671759,39392
0.2727272727272727,0.3728253899101475,52320
0.2840909090909091,0.37402295924926354,31133
0.29545454545454547,0.3745134452425704,3356
0.3068181818181818,0.37804941164798206,6762
0.3181818181818182,0.383433354532651,3303
0.32954545454545453,0.3834467925679478,35280
0.3409090909090909,0.386617757358135,7473
0.3522727272727273,0.40279221411915417,16735
0.36363636363636365,0.4156982022636946,20485
0.375,0.4179658126618628,4637
0.38636363636363635,0.4266680716817361,61568
0.3977272727272727,0.42822123899120773,1239
0.4090909090909091,0.4334081924320592,7738
0.42045454545454547,0.4380504485852213,6830
0.4318181818181818,0.4399104586991474,6453
0.4431818181818182,0.4407073689085434,8708
0.45454545454545453,0.4493544567254458,12389
0.4659090909090909,0.452098180667263,262589
0.4772727272727273,0.4527007860447079,3549
0.48863636363636365,0.4601541008702576,8218
0.5,0.4653392042031846,3320
0.5113636363636364,0.47208645747661215,58453
0.5227272727272727,0.47478919444192974,12956
0.5340909090909091,0.47572741676796515,701
0.5454545454545454,0.48740678794781844,3223
0.5568181818181818,0.4910340815501628,26599
0.5681818181818182,0.49685935277977084,6939
0.5795454545454546,0.5038880023830538,3786
0.5909090909090909,0.5073193565753139,9049
0.6022727272727273,0.5246317872850011,8220
0.6136363636363636,0.5328757730096071,209
0.625,0.5345927382556019,2497
0.6363636363636364,0.5440723456811937,4230
0.6477272727272727,0.544266282329664,132602
0.6590909090909091,0.5538304456055735,31027
0.6704545454545454,0.5559664193830763,1221
0.6818181818181818,0.5583743982607982,3561
0.6931818181818182,0.5628447129075232,22773
0.7045454545454546,0.5675033518839198,12552
0.7159090909090909,0.5715496118657678,4755
0.7272727272727273,0.5763867144483288,7922
0.7386363636363636,0.5793897571686611,7018
0.75,0.5830324204285973,23520
0.7613636363636364,0.5848978679325999,8359
0.7727272727272727,0.5898495232414841,46887
0.7840909090909091,0.5900897297078317,6223
0.7954545454545454,0.5907430711384308,9498
0.8068181818181818,0.5920492239616306,37100
0.8181818181818182,0.6121009067376142,9318
0.8295454545454546,0.6136298761022576,23106
0.8409090909090909,0.6236200179535278,7713
0.8522727272727273,0.6247463537866482,136106
0.8636363636363636,0.6257578532789334,12741
0.875,0.6382758601712535,37662
0.8863636363636364,0.6546154251021576,58717
0.8977272727272727,0.657831039075525,9942
0.9090909090909091,0.6578390510433104,7545
0.9204545454545454,0.6699593263539709,4134
0.9318181818181818,0.6800212278230554,7303
0.9431818181818182,0.6971491970178766,9121
0.9545454545454546,0.7160214034272618,4826
0.9659090909090909,0.7228256603017366,13335
0.9772727272727273,0.7239219319340291,29049
0.9886363636363636,0.7409118147419321,4766
1.0,0.7971954011084795,32787
