p,mean_hege,identifier
0.0,0.1,23
0.008849557522123894,0.1,1423
0.017699115044247787,0.1,969
0.02654867256637168,0.1,3117
0.035398230088495575,0.10110544217687073,3168
0.04424778761061947,0.10555555555555556,2846
0.05309734513274336,0.10555555555555556,115
0.061946902654867256,0.1111111111111111,3
0.07079646017699115,0.1111111111111111,2004
0.07964601769911504,0.1111111111111111,676
0.08849557522123894,0.1111111111111111,3654
0.09734513274336283,0.1111111111111111,2035
0.10619469026548672,0.1111111111111111,2452
0.11504424778761062,0.11115802482111795,3562
0.12389380530973451,0.11317280481786962,1210
0.13274336283185842,0.11437908496732026,1154
0.1415929203539823,0.11538461538461539,2365
0.1504424778761062,0.11654589371980675,2353
0.1592920353982301,0.11764705882352941,1023
0.168141592920354,0.11904761904761904,1684
0.17699115044247787,0.12,3472
0.18584070796460178,0.125,350
0.19469026548672566,0.125,59
0.20353982300884957,0.125,29
0.21238938053097345,0.125,167
0.22123893805309736,0.125,248
0.23008849557522124,0.13043478260869565,3903
0.23893805309734514,0.14759789998137454,1209
0.24778761061946902,0.15,2680
0.25663716814159293,0.1511006289308176,2299
0.26548672566371684,0.15625,3352
0.2743362831858407,0.16,2289
0.2831858407079646,0.16402539184691647,2815
0.2920353982300885,0.16462397676834722,1262
0.3008849557522124,0.16666666666666666,1146
0.30973451327433627,0.1712121212121212,326
0.3185840707964602,0.1754385964912281,694
0.3274336283185841,0.17647058823529413,1150
0.336283185840708,0.18421052631578946,863
0.34513274336283184,0.1875,70
0.35398230088495575,0.1875,1019
0.36283185840707965,0.19,69
0.37168141592920356,0.2,1180
0.3805309734513274,0.2012310606060606,977
0.3893805309734513,0.2043299106813826,1308
0.39823008849557523,0.21428571428571427,2250
0.40707964601769914,0.22094430992736075,1663
0.415929203539823,0.2222222222222222,3017
0.4247787610619469,0.2222222222222222,3384
0.4336283185840708,0.2222222222222222,2915
0.4424778761061947,0.2222222222222222,1212
0.45132743362831856,0.2222222222222222,3634
0.46017699115044247,0.2222222222222222,639
0.4690265486725664,0.23529411764705882,1151
0.4778761061946903,0.23684210526315788,565
0.48672566371681414,0.23720760233918128,2163
0.49557522123893805,0.24,2149
0.504424778761062,0.24074074074074073,21
0.5132743362831859,0.24367129740020585,1207
0.5221238938053098,0.25,1421
0.5309734513274337,0.25,1790
0.5398230088495575,0.2528845728103515,823
0.5486725663716814,0.2647058823529412,249
0.5575221238938053,0.26666666666666666,291
0.5663716814159292,0.2700502801174728,93
0.5752212389380531,0.2754901960784314,236
0.584070796460177,0.28180890146378007,2522
0.5929203539823009,0.2847222222222222,372
0.6017699115044248,0.2876909254267745,198
0.6106194690265486,0.28863636363636364,1249
0.6194690265486725,0.29254122938530736,1772
0.6283185840707964,0.3,1627
0.6371681415929203,0.31136039886039885,583
0.6460176991150443,0.31470588235294117,325
0.6548672566371682,0.32727272727272727,514
0.6637168141592921,0.33653846153846156,84
0.672566371681416,0.34152046783625734,173
0.6814159292035398,0.3456845238095238,254
0.6902654867256637,0.3561185383244206,89
0.6991150442477876,0.3568316335265488,513
0.7079646017699115,0.36494233244078716,43
0.7168141592920354,0.37208959622752724,3739
0.7256637168141593,0.3732638888888889,95
0.7345132743362832,0.375,781
0.7433628318584071,0.375,983
0.7522123893805309,0.38813405797101447,331
0.7610619469026548,0.4080459770114942,833
0.7699115044247787,0.42748354274143285,488
0.7787610619469026,0.44252873563218387,2836
0.7876106194690266,0.4444444444444444,1002
0.7964601769911505,0.4583333333333333,1997
0.8053097345132744,0.4583333333333333,212
0.8141592920353983,0.4722256431308155,33
0.8230088495575221,0.4775985663082437,1771
0.831858407079646,0.4777777777777778,1679
0.8407079646017699,0.5170807453416149,172
0.8495575221238938,0.5384615384615384,993
0.8584070796460177,0.5555555555555556,1508
0.8672566371681416,0.5652173913043478,1981
0.8761061946902655,0.5714285714285714,267
0.8849557522123894,0.6,2729
0.8938053097345132,0.6,91
0.9026548672566371,0.6076388888888888,128
0.911504424778761,0.611111111111111,2050
0.9203539823008849,0.613265306122449,126
0.9292035398230089,0.624113475177305,239
0.9380530973451328,0.625,2496
0.9469026548672567,0.6607142857142857,3750
0.9557522123893806,0.6745283018867925,3473
0.9646017699115044,0.7578703703703704,1982
0.9734513274336283,0.7647058823529411,2611
0.9823008849557522,0.7905228758169935,2124
0.9911504424778761,0.875,602
1.0,1.0,121
