p,mean_hege,identifier
0.0,0.1037037037037037,1842
0.010752688172043012,0.10833333333333332,123
0.021505376344086023,0.1109375,55
0.03225806451612903,0.11435185185185186,321
0.043010752688172046,0.11565040650406504,255
0.053763440860215055,0.11697984749455337,7
0.06451612903225806,0.11875,270
0.07526881720430108,0.11875588065409749,94
0.08602150537634409,0.12361111111111112,14
0.0967741935483871,0.1337618649804215,2
0.10752688172043011,0.13425925925925927,364
0.11827956989247312,0.13435488635434178,17
0.12903225806451613,0.13510551183593575,50
0.13978494623655913,0.13621397190133755,4
0.15053763440860216,0.137306820163963,12
0.16129032258064516,0.13934078928822752,5
0.17204301075268819,0.1400735294117647,1214
0.1827956989247312,0.14094518863372343,71
0.1935483870967742,0.14267225497420782,184
0.20430107526881722,0.14322039072039072,1088
0.21505376344086022,0.1435498392905549,64
0.22580645161290322,0.14531729729467885,358
0.23655913978494625,0.14586777184600755,699
0.24731182795698925,0.14800287374129936,716
0.25806451612903225,0.14918088731169804,142
0.26881720430107525,0.14970483847602492,264
0.27956989247311825,0.1507193904628963,240
0.2903225806451613,0.15447202521670608,780
0.3010752688172043,0.15719263678722414,158
0.3118279569892473,0.16141975308641976,30
0.3225806451612903,0.1614470928800197,375
0.3333333333333333,0.1633429778452209,82
0.34408602150537637,0.16407264957264958,710
0.3548387096774194,0.17326649418466286,359
0.3655913978494624,0.17570421840536463,13
0.3763440860215054,0.17766884531590418,63
0.3870967741935484,0.17994505494505497,864
0.3978494623655914,0.18453703703703703,35
0.40860215053763443,0.18456539661441249,804
0.41935483870967744,0.18566448801742919,424
0.43010752688172044,0.1858649348124505,42
0.44086021505376344,0.18752100840336133,2766
0.45161290322580644,0.19287036725164416,954
0.46236559139784944,0.1928703703703704,491
0.4731182795698925,0.20049019607843135,210
0.4838709677419355,0.20125867853741583,655
0.4946236559139785,0.20266069360086553,119
0.5053763440860215,0.20649317843903822,24
0.5161290322580645,0.2069371009596669,100
0.5268817204301075,0.20964052287581703,1242
0.5376344086021505,0.212478354978355,2013
0.5483870967741935,0.21505024447715698,446
0.5591397849462365,0.22137013162258432,355
0.5698924731182796,0.22220479989867506,177
0.5806451612903226,0.225,1277
0.5913978494623656,0.22879824885929215,125
0.6021505376344086,0.23308143012374108,252
0.6129032258064516,0.23664084710310826,1320
0.6236559139784946,0.2372513878727376,592
0.6344086021505376,0.23857521345672433,60
0.6451612903225806,0.2511844793013624,429
0.6559139784946236,0.25197303711760344,53
0.6666666666666666,0.25778788500771255,250
0.6774193548387096,0.2633101851851852,327
0.6881720430107527,0.2643589743589744,2084
0.6989247311827957,0.2668121533597518,3788
0.7096774193548387,0.2723307783907715,1533
0.7204301075268817,0.3026364957322086,2730
0.7311827956989247,0.3027824371145884,1514
0.7419354838709677,0.30548531453898686,713
0.7526881720430108,0.315473938869251,482
0.7634408602150538,0.3237044817927171,1323
0.7741935483870968,0.3252712201203866,3018
0.7849462365591398,0.32678525568109046,935
0.7956989247311828,0.3407154272190504,474
0.8064516129032258,0.3594233950914985,832
0.8172043010752689,0.3683767095514367,1977
0.8279569892473119,0.37355082686432106,1329
0.8387096774193549,0.37430154358505574,3791
0.8494623655913979,0.38530640068954075,235
0.8602150537634409,0.3882013218526803,1978
0.8709677419354839,0.41291937229437226,1561
0.8817204301075269,0.4147175536881419,3182
0.8924731182795699,0.4189729557410842,1178
0.9032258064516129,0.42631246046805815,635
0.9139784946236559,0.4500668106723344,1028
0.9247311827956989,0.46159621688214497,3655
0.9354838709677419,0.5056283385378221,224
0.946236559139785,0.5096153127917834,1025
0.956989247311828,0.5163296504759919,3471
0.967741935483871,0.5193814912501645,3149
0.978494623655914,0.5644830466972027,48
0.989247311827957,0.6744259781167108,1006
1.0,0.7038239538239538,92
